text,label,classify,from
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/按次/CBA会员-V4.74.0/03_安卓按次月包.robot': Setting variable '${transactionid}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/按次/CBA会员-V4.74.0/04_优惠券混合支付.robot': Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/按次/CBA会员-V4.74.0/04_优惠券混合支付.robot': Setting variable '${transactionid}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/节目/CBA会员-V4.74.0/05_苹果支付单场赛事.robot': Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/节目/CBA会员-V4.74.0/05_苹果支付单场赛事.robot': Setting variable '${transactionid}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/节目/CBA会员-V4.74.0/06_通看券支付单场赛事.robot': Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/节目/CBA会员-V4.74.0/06_通看券支付单场赛事.robot': Setting variable '${transactionid}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/连续/CBA会员-V4.74.0/02_IOS连续包月.robot': Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_CBA/连续/CBA会员-V4.74.0/02_IOS连续包月.robot': Setting variable '${transactionid}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
校验失败，$.order.status的真实结果WAIT2PAY与SUCCESS不一致,0,,
AssertionError,0,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_NBA/按次/球队通、联盟通-V4.54.0/安卓端三方按次球队通.robot': Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_NBA/按次/球队通、联盟通-V4.54.0/安卓端三方按次球队通.robot': Setting variable '${timestamp}' failed: Resolving variable '${__time(yyyyMMddHHmmss,time)}' failed: Variable '${__time}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_NBA/按次/球队通、联盟通-V4.54.0/安卓端三方按次球队通.robot': Setting variable '${userAccount}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_NBA/连续/球队通、联盟通-V4.54.0/安卓端三方连续球队通.robot': Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_NBA/连续/球队通、联盟通-V4.54.0/安卓端三方连续球队通.robot': Setting variable '${timestamp}' failed: Resolving variable '${__time(yyyyMMddHHmmss,time)}' failed: Variable '${__time}' not found.",1,,
"Error in file '/data/teststone/TestCases/rainbowstone_video/TestCases/video_NBA/连续/球队通、联盟通-V4.54.0/安卓端三方连续球队通.robot': Setting variable '${userAccount}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,,
