text,label,classify
AssertionError,0,疑似产品问题
校验失败,0,
操作菜单失败，请检查,0,
ValueError: response data should be json or xml,0,
Keyword '数据库校验' failed after retrying,0,
Keyword '合约订单项入库校验' failed after retrying,0,
"Setting variable '${transactionid}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,脚本问题
"Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,
Variable '${__Random}' not found.,1,
"Resolving variable '${__Random(00001,99999,)}' failed",1,
"Setting variable '${externalOrderId}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,
"Setting variable '${timestamp}' failed: Resolving variable '${__time(yyyyMMddHHmmss,time)}' failed: Variable '${__time}' not found.",1,
"Setting variable '${userAccount}' failed: Resolving variable '${__Random(00001,99999,)}' failed: Variable '${__Random}' not found.",1,
Setting variable '${transactionid}' failed,1,
Setting variable '${externalOrderId}' failed,1,
Setting variable '${userAccount}' failed,1,
Setting variable '${timestamp}' failed,1,
Setting variable '${externalOrderId}' failed,1,
Variable '${__time}' not found,1,
Setting variable '${externalId01}' failed,1,
Setting variable '${externalId02}' failed,1,
[perform_action()]: 参数locator不能为None,1,
没有定位到包含文字【zierwx】的【可见的】元素，请检查文字是否正确,3,UI元素定位异常
Text '密码登录' did not appear in 5 seconds,3,
尝试在当前页面定位元素失败,3,
"点击输入框异常,没有dropdown,也无法获取输入框的焦点",3,
【操作成功toast】在4秒内没有出现,3,
根据文字【所属项目：】定位组件【single_selection】失败，请检查定位文字或者组件类型是否正确,3,
"TimeoutException(), 'element is not clickable in 3s'",3,
ElementNotFound,3,
没有定位到包含文字,3,
参数locator不能为None,3,
没有定位到与文字,3,
请检查XPATH是否正确,3,
StaleElementReferenceException: Message: stale element reference: stale element not found,3,
StaleElementReferenceException,3,
